,cell1,cell2,similarity,num_hashes,time_seconds
38,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.076,500,0.003779172897338867
39,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,0.024,500,0.003779172897338867
41,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,0.024,500,0.003779172897338867
42,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,0.038,500,0.003779172897338867
43,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.074,500,0.003779172897338867
44,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.066,500,0.003779172897338867
45,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,0.028,500,0.003779172897338867
46,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.046,500,0.003779172897338867
47,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.034,500,0.003779172897338867
48,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,0.022,500,0.003779172897338867
49,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,0.024,500,0.003779172897338867
51,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,0.034,500,0.003779172897338867
52,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.036,500,0.003779172897338867
53,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.046,500,0.003779172897338867
54,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,0.018,500,0.003779172897338867
55,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.052,500,0.003779172897338867
56,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.04,500,0.003779172897338867
57,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,0.028,500,0.003779172897338867
58,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,0.038,500,0.003779172897338867
59,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,0.034,500,0.003779172897338867
61,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.036,500,0.003779172897338867
62,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.046,500,0.003779172897338867
63,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,0.016,500,0.003779172897338867
64,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.098,500,0.003779172897338867
65,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.08,500,0.003779172897338867
66,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,0.03,500,0.003779172897338867
67,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,0.074,500,0.003779172897338867
68,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,0.036,500,0.003779172897338867
69,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,0.036,500,0.003779172897338867
71,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.146,500,0.003779172897338867
72,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,0.018,500,0.003779172897338867
73,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.09,500,0.003779172897338867
74,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.082,500,0.003779172897338867
75,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,0.04,500,0.003779172897338867
76,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,0.066,500,0.003779172897338867
77,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,0.046,500,0.003779172897338867
78,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,0.046,500,0.003779172897338867
79,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.146,500,0.003779172897338867
1,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.021,1000,0.006935596466064453
2,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.013,1000,0.006935596466064453
3,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,0.024,1000,0.006935596466064453
4,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,0.01,1000,0.006935596466064453
5,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,0.024,1000,0.006935596466064453
6,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,0.021,1000,0.006935596466064453
7,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.014,1000,0.006935596466064453
8,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.015,1000,0.006935596466064453
9,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,0.021,1000,0.006935596466064453
11,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.076,1000,0.006935596466064453
12,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,0.027,1000,0.006935596466064453
13,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,0.076,1000,0.006935596466064453
14,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,0.037,1000,0.006935596466064453
15,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,0.044,1000,0.006935596466064453
16,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.096,1000,0.006935596466064453
17,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.085,1000,0.006935596466064453
18,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,0.013,1000,0.006935596466064453
19,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.076,1000,0.006935596466064453
21,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,0.026,1000,0.006935596466064453
22,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,0.073,1000,0.006935596466064453
23,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,0.035,1000,0.006935596466064453
24,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,0.043,1000,0.006935596466064453
25,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.091,1000,0.006935596466064453
26,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.091,1000,0.006935596466064453
27,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,0.024,1000,0.006935596466064453
28,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.027,1000,0.006935596466064453
29,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.026,1000,0.006935596466064453
31,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,0.025,1000,0.006935596466064453
32,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,0.022,1000,0.006935596466064453
33,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,0.024,1000,0.006935596466064453
34,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.031,1000,0.006935596466064453
35,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.031,1000,0.006935596466064453
36,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,0.01,1000,0.006935596466064453
37,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.076,1000,0.006935596466064453
38,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.073,1000,0.006935596466064453
39,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,0.025,1000,0.006935596466064453
41,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,0.025,1000,0.006935596466064453
42,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,0.043,1000,0.006935596466064453
43,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.077,1000,0.006935596466064453
44,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.075,1000,0.006935596466064453
45,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,0.024,1000,0.006935596466064453
46,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.037,1000,0.006935596466064453
47,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.035,1000,0.006935596466064453
48,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,0.022,1000,0.006935596466064453
49,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,0.025,1000,0.006935596466064453
51,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,0.032,1000,0.006935596466064453
52,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.039,1000,0.006935596466064453
53,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.042,1000,0.006935596466064453
54,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,0.021,1000,0.006935596466064453
55,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.044,1000,0.006935596466064453
56,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,0.043,1000,0.006935596466064453
57,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,0.024,1000,0.006935596466064453
58,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,0.043,1000,0.006935596466064453
59,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,0.032,1000,0.006935596466064453
