id,sra_id,output
SRX1460483,SRX1460483,s3://olgabot-maca/ancient_stem_cells/fastqs/ephydatia_fluviatilis
SRX1460484,SRX1460484,s3://olgabot-maca/ancient_stem_cells/fastqs/ephydatia_fluviatilis
SRX1460485,SRX1460485,s3://olgabot-maca/ancient_stem_cells/fastqs/ephydatia_fluviatilis
SRX1460486,SRX1460486,s3://olgabot-maca/ancient_stem_cells/fastqs/ephydatia_fluviatilis
SRX1460487,SRX1460487,s3://olgabot-maca/ancient_stem_cells/fastqs/ephydatia_fluviatilis
SRX1460488,SRX1460488,s3://olgabot-maca/ancient_stem_cells/fastqs/ephydatia_fluviatilis
SRX1460489,SRX1460489,s3://olgabot-maca/ancient_stem_cells/fastqs/ephydatia_fluviatilis
